Department,Date,Code,Expense Type,P.O. No.,Vendor Name,Invoice No.,Invoice Date,From Date,To Date,Base Amount,CGST/ SGST,IGST/ UGST,Total Amount,TDS,Other Charges Deducted,Hand over to F&A,Payment Date,Additional Remarks,FY24 Impact,Invoice Category,Invoice Received from Vendor,GRN Raised,Approved by Checker,Invoice raised by Accounts,Checker Approval,Approvers Approval,Moved to Accounts bucket to Payment Made,Direct Invoice Raised,Approved by Checker,Approved by Approver,Moved to Accounts bucket for Payment,Payment Date,"Payment Terms
(Days)"
Infra,Apr-23,ITICLR,Opex,XYZCL|XYZ|2023-24|1002,ABC solutions LLP,A/TR/23-24/0022,10-Apr-23,04-Apr-23,05-Apr-24,"53,768","9,678",-,"63,446",-,-,17-04-2023,27-Apr-23,-,"53,768",PO Based,11-Apr-23,13-Apr-23,17-Apr-23,18-Apr-23,21-Apr-23,21-Apr-23,21-Apr-23,NA,NA,NA,NA,27-Apr-23,45
Infra,Apr-23,ITICLR,Opex,XYZCL|XYZ|2023-24|1002,ABC solutions LLP,A/TR/23-24/0033,13-Apr-23,22-Apr-23,23-Apr-24,"4,00,248","72,045",-,"4,72,293",-,-,17-04-2023,27-Apr-23,-,"3,75,788",PO Based,14-Apr-23,17-Apr-23,17-Apr-23,18-Apr-23,21-Apr-23,21-Apr-23,21-Apr-23,NA,NA,NA,NA,27-Apr-23,45
Infra,Apr-23,ITIBAI,Opex,DI-6,ABC Pvt ltd,ABCILLAMJ-23-1,01-Mar-23,01-Apr-23,30-Jun-23,"2,83,750","51,075",-,"3,34,825",-,-,-,4-May-23,-,"2,83,750",PO Based,13-Apr-23,,,,,,,13-Apr-23,14-Apr-23,14-Apr-23,14-Apr-23,4-May-23,30
Infra,Apr-23,ITIBBB,Opex,DI-7,ABC Pvt ltd,ABCILLAMJ-23-2,01-Mar-23,01-Apr-23,30-Jun-23,"4,77,500","85,950",-,"5,63,450",-,-,-,4-May-23,-,"4,77,500",PO Based,13-Apr-23,,,,,,,13-Apr-23,14-Apr-23,14-Apr-23,14-Apr-23,4-May-23,30
Infra,Apr-23,ITIBAI,Opex,DI-8,ABC Limited,ABCBranchILLAMJ23,12-Mar-23,01-Apr-23,30-Jun-23,"10,76,177","1,93,712",-,"12,69,889",-,-,-,9-May-23,-,"10,76,177",PO Based,13-Apr-23,,,,,,,17-Apr-23,17-Apr-23,17-Apr-23,17-Apr-23,9-May-23,30
Infra,Apr-23,ITIMHO,Opex,DI-9,ABC Limited,ABCHOILLAMJ23,12-Mar-23,01-Apr-23,30-Jun-23,"20,444","3,680",-,"24,124",-,-,-,9-May-23,-,"20,444",PO Based,13-Apr-23,,,,,,,17-Apr-23,17-Apr-23,17-Apr-23,17-Apr-23,9-May-23,30
Infra,Apr-23,ITIZIA,Opex,XYZCL|XYZ|2022-23|2017,ABC Limited,MH/ED/2324/40006,12-Apr-23,01-Apr-23,30-Sep-23,"21,27,467","3,82,944",-,"25,10,411","2,12,747",-,20-04-2023,22-May-23,-,"21,27,467",PO Based,17-Apr-23,21-Apr-23,21-Apr-23,21-Apr-23,16-May-23,16-May-23,16-May-23,NA,NA,NA,NA,22-May-23,45
Infra,Apr-23,ITIZPA,Opex,XYZCL|XYZ|2022-23|2016,ABC Limited,MH/ED/2324/40007,12-Apr-23,01-Apr-23,30-Sep-23,"5,99,200","1,07,856",-,"7,07,056","59,920",-,20-04-2023,18-May-23,-,"5,99,200",PO Based,17-Apr-23,21-Apr-23,21-Apr-23,21-Apr-23,16-May-23,16-May-23,16-May-23,NA,NA,NA,NA,18-May-23,45
Infra,Apr-23,ITIACC,Opex,XYZCL|XYZ|2023-24|1083,ABC 5 Infotech,V5-23-24/04/034,18-Apr-23,18-Apr-23,18-Apr-23,"12,362","2,225",-,"14,587",-,-,19-04-2023,27-Apr-23,-,"12,362",PO Based,18-Apr-23,18-Apr-23,19-Apr-23,19-Apr-23,21-Apr-23,21-Apr-23,21-Apr-23,NA,NA,NA,NA,27-Apr-23,45
Infra,Apr-23,CITLDP,Capex,XYZCL|XYZ|2023-24|1063,ABC tech Pvt Ltd,BI/0527/23-24,13-Apr-23,13-Apr-23,13-Apr-23,"44,10,000","7,93,800",-,"52,03,800","5,306",-,19-04-2023,28-Apr-23,-,"44,10,000",PO Based,18-Apr-23,18-Apr-23,19-Apr-23,19-Apr-23,20-Apr-23,20-Apr-23,20-Apr-23,NA,NA,NA,NA,28-Apr-23,45
Infra,Apr-23,ITIACC,Opex,XYZCL|XYZ|2023-24|1116,ABC deasinfinite,706,20-Apr-23,20-Apr-23,20-Apr-23,"74,300","13,374",-,"87,674",-,-,28-04-2023,18-May-23,-,"74,300",PO Based,24-Apr-23,24-Apr-23,28-Apr-23,29-Apr-23,16-May-23,16-May-23,16-May-23,NA,NA,NA,NA,18-May-23,45
Infra,Apr-23,ITIADS,Opex,XYZCL|XYZ|2022-23|2910,ABC System,APR-130-23/24,21-Apr-23,01-Apr-23,31-Mar-24,"86,350","15,543",-,"1,01,893",-,-,28-04-2023,18-May-23,-,"86,350",PO Based,22-Apr-23,22-Apr-23,24-Apr-23,29-Apr-23,16-May-23,16-May-23,16-May-23,NA,NA,NA,NA,18-May-23,45
Infra,Apr-23,ITIVDS,Opex,XYZCL|XYZ|2023-24|1078,ABC l Pvt. Ltd.,SRV232401040024,24-Apr-23,01-Apr-23,31-Mar-24,"32,000","5,760",-,"37,760",640,-,04-05-2023,10-May-23,-,"32,000",PO Based,26-Apr-23,28-Apr-23,4-May-23,5-May-23,9-May-23,9-May-23,9-May-23,NA,NA,NA,NA,10-May-23,45
Infra,May-23,ITIAFC,Opex,XYZCL|XYZ|2023-24|1093,ABC India Pvt Ltd,H27T19202300116,26-Apr-23,18-May-23,18-May-26,"38,10,000","6,85,800",-,"44,95,800","76,200",-,04-05-2023,27-Jun-23,-,"33,33,750",PO Based,28-Apr-23,28-Apr-23,4-May-23,10-Jun-23,12-Jun-23,12-Jun-23,12-Jun-23,NA,NA,NA,NA,27-Jun-23,45
Infra,May-23,ITIADE,Opex,DI-10,ABC Ire LTD,2441899232,01-May-23,01-May-23,31-Jul-23,"17,90,544","3,22,298",-,"21,12,842",-,-,31-05-2023,13-Jun-23,-,"23,87,392",PO Based,02-May-23,,,,,,,2-May-23,31-May-23,31-May-23,31-May-23,13-Jun-23,30
Infra,May-23,ITIADE,Opex,DI-11,ABC Ire LTD,4800065332,01-May-23,01-May-23,31-Jul-23,"1,20,597","21,707",-,"1,42,304",-,-,31-05-2023,13-Jun-23,-,"1,60,796",PO Based,02-May-23,,,,,,,2-May-23,31-May-23,31-May-23,31-May-23,13-Jun-23,30
Infra,Apr-23,ITIACC,Opex,XYZCL|XYZ|2023-24|1143,ABC World,688/APR/23-24,28-Apr-23,28-Apr-23,28-Apr-23,"16,900","3,042",-,"19,942",-,-,-,16-May-23,-,"16,900",PO Based,02-May-23,2-May-23,2-May-23,4-May-23,12-May-23,12-May-23,12-May-23,NA,NA,NA,NA,16-May-23,45
Infra,Apr-23,ITIPIM,Opex,XYZCL|XYZ|2023-24|1033,ABC ions Pvt Ltd,ARCON202324040,04-May-23,01-Apr-23,31-Mar-24,"46,350","8,343",-,"54,693","4,635",-,05-05-2023,12-May-23,-,"46,350",PO Based,04-May-23,5-May-23,5-May-23,5-May-23,9-May-23,9-May-23,9-May-23,NA,NA,NA,NA,12-May-23,45
Infra,Apr-23,ITIHCT,Opex,DI-12,ABC RASHTRA) LTD,2169014645,03-May-23,01-Apr-23,30-Apr-23,"5,000",900,-,"5,900",-,-,-,16-May-23,-,"5,000",PO Based,05-May-23,,,,,,,5-May-23,16-May-23,16-May-23,16-May-23,16-May-23,30
Infra,Apr-23,ITIHCT,Opex,DI-13,ABC RASHTRA) LTD,2169009988,03-May-23,01-Apr-23,30-Apr-23,"10,000","1,800",-,"11,800",-,-,-,16-May-23,-,"10,000",PO Based,05-May-23,,,,,,,5-May-23,16-May-23,16-May-23,16-May-23,16-May-23,30
Infra,Apr-23,ITIHCT,Opex,DI-14,ABC RASHTRA) LTD,2169011357,03-May-23,01-Apr-23,30-Apr-23,"20,000","3,600",-,"23,600",-,-,-,16-May-23,-,"20,000",PO Based,05-May-23,,,,,,,5-May-23,16-May-23,16-May-23,16-May-23,16-May-23,30
Infra,Apr-23,ITIHCT,Opex,DI-15,ABC Ltd,HT2427I000858113,03-May-23,02-Apr-23,01-May-23,"10,000","1,800",-,"11,800",-,-,-,15-May-23,-,"10,000",PO Based,08-May-23,,,,,,,8-May-23,15-May-23,15-May-23,15-May-23,15-May-23,30
Infra,Apr-23,ITIHCT,Opex,DI-16,ABC Ltd,HT2427I000866470,03-May-23,02-Apr-23,01-May-23,"10,000","1,800",-,"11,800",-,-,-,15-May-23,-,"10,000",PO Based,08-May-23,,,,,,,8-May-23,15-May-23,15-May-23,15-May-23,15-May-23,30
Infra,Apr-23,ITIBLW,Opex,DI-17,ABC Ltd,HT2427I000854434,03-May-23,02-Apr-23,01-May-23,549,99,-,648,-,-,-,15-May-23,-,549,PO Based,08-May-23,,,,,,,8-May-23,15-May-23,15-May-23,15-May-23,15-May-23,30
Infra,May-23,ITIACC,Opex,XYZCL|XYZ|2023-24|1200,ABC deasinfinite,709,05-May-23,05-May-23,05-May-23,"4,406",793,-,"5,199",-,-,20-05-2023,5-Jun-23,-,"4,406",PO Based,08-May-23,8-May-23,8-May-23,23-May-23,30-May-23,30-May-23,30-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,Apr-23,ITIMB,Opex,DI-18,ABC IMITED,MobileBillsApr23,01-May-23,01-Apr-23,30-Apr-23,"32,595","5,867",-,"38,462",-,-,-,22-Jun-23,-,"32,595",PO Based,14-Jun-23,,,,,,,14-Jun-23,14-Jun-23,22-Jun-23,22-Jun-23,22-Jun-23,30
Infra,Apr-23,ITIBLW,Opex,DI-19,ABC IMITED,MHSO090523110799,01-May-23,01-Apr-23,30-Apr-23,"87,764","15,798",-,"1,03,562",-,-,-,17-May-23,-,"87,764",PO Based,08-May-23,,,,,,,8-May-23,17-May-23,17-May-23,17-May-23,17-May-23,30
Infra,Apr-23,ITIBPO,Opex,DI-20,ABC India Pvt Ltd,ABCBranchPrintingApr23,02-May-23,01-Apr-23,30-Apr-23,"59,425","10,696",-,"70,121","1,188",-,-,17-May-23,-,"59,425",PO Based,08-May-23,,,,,,,8-May-23,17-May-23,17-May-23,17-May-23,17-May-23,30
Infra,Apr-23,ITIHPC,Opex,DI-21,ABC India Pvt Ltd,ABCHoPrintingApr23,02-May-23,01-Apr-23,30-Apr-23,"23,116","4,161",-,"27,277",462,-,-,12-Jul-23,-,"23,116",PO Based,08-May-23,,,,,,,8-May-23,9-May-23,12-May-23,12-May-23,12-Jul-23,30
Infra,Apr-23,ITISWI,Opex,XYZCL|XYZ|2023-24|1029,ABC IES PVT. LTD,SINV/23-24/00169,02-May-23,01-Apr-23,31-Mar-24,"8,53,995","1,53,719",-,"10,07,714","85,400",-,08-05-2023,10-Jun-23,-,"8,53,995",PO Based,08-May-23,8-May-23,8-May-23,9-May-23,8-Jun-23,8-Jun-23,8-Jun-23,NA,NA,NA,NA,10-Jun-23,45
Infra,Apr-23,ITIMB,Opex,DI-22,ABC Ltd,BM2427I001840903,03-May-23,02-Apr-23,01-May-23,"87,621","15,772",-,"1,03,393",-,-,-,22-May-23,-,"87,621",PO Based,08-May-23,,,,,,,8-May-23,22-May-23,22-May-23,22-May-23,22-May-23,30
Infra,Apr-23,ITICSC,Opex,DI-23,ABC and Logistic,AGCC024/2023-24,05-May-23,01-Apr-23,30-Apr-23,"20,500","3,690",-,"24,190",205,-,-,15-May-23,-,"20,500",PO Based,08-May-23,,,,,,,8-May-23,15-May-23,15-May-23,15-May-23,15-May-23,30
Infra,Apr-23,ITIBLW,Opex,DI-24,ABC Ltd,BM2427I001898157,06-May-23,05-Apr-23,04-May-23,"58,638","10,555",-,"69,193",-,-,-,5-Jun-23,-,"19,546",PO Based,09-May-23,,,,,,,9-May-23,30-May-23,30-May-23,30-May-23,5-Jun-23,30
Infra,Apr-23,ITICLD,Opex,DI-25,ABC vate Limited,AIN2324000594660,03-May-23,01-Apr-23,30-Apr-23,"35,25,272","6,34,549",-,"41,59,821","70,505","6,34,549",-,5-Jun-23,-,"35,25,272",PO Based,10-May-23,,,,,,,17-May-23,30-May-23,30-May-23,30-May-23,5-Jun-23,30
Infra,Apr-23,ITIFSD,Opex,XYZCL|XYZ|2022-23|2785,ABC ICES PVT LTD,90053079,18-May-23,01-Apr-23,30-Apr-23,"6,06,348","1,09,143",-,"7,15,491","12,127",-,20-05-2023,5-Jun-23,-,"6,06,348",PO Based,18-May-23,18-May-23,19-May-23,23-May-23,30-May-23,30-May-23,30-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,Apr-23,ITIFNS,Opex,XYZCL|XYZ|2022-23|2784,ABC ICES PVT LTD,90053080,18-May-23,01-Apr-23,30-Apr-23,"64,485","11,607",-,"76,092","1,290",-,20-05-2023,5-Jun-23,-,"64,485",PO Based,18-May-23,18-May-23,19-May-23,23-May-23,30-May-23,30-May-23,30-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,Apr-23,ITIPTM,Opex,XYZCL|XYZ|2022-23|2783,ABC ICES PVT LTD,90053081,18-May-23,01-Apr-23,30-Apr-23,"31,111","5,600",-,"36,711",622,-,20-05-2023,5-Jun-23,-,"31,111",PO Based,18-May-23,18-May-23,19-May-23,23-May-23,30-May-23,30-May-23,30-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,Apr-23,ITIFIS,Opex,XYZCL|XYZ|2022-23|2786,ABC ICES PVT LTD,90053082,18-May-23,01-Apr-23,30-Apr-23,"45,831","8,250",-,"54,081",917,-,20-05-2023,5-Jun-23,-,"45,831",PO Based,18-May-23,18-May-23,19-May-23,23-May-23,30-May-23,30-May-23,30-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,Apr-23,ITICSC,Opex,DI-26,"ABC CS
PVT. LTD.",169/23-24,09-May-23,01-Apr-23,30-Apr-23,"17,505","3,151",-,"20,656",350,-,-,6-Jun-23,-,"17,505",PO Based,18-May-23,,,,,,,18-May-23,30-May-23,30-May-23,30-May-23,6-Jun-23,30
Infra,Mar-23,ITICSC,Opex,DI-27,"ABC CS
PVT. LTD.",203/23-24,18-May-23,01-Mar-23,31-Mar-23,"5,570","1,003",-,"6,573",111,-,-,6-Jun-23,-,"5,570",PO Based,18-May-23,,,,,,,18-May-23,30-May-23,30-May-23,30-May-23,6-Jun-23,30
Infra,Feb-23,ITICSC,Opex,DI-28,"ABC CS
PVT. LTD.",204/23-24,18-May-23,01-Feb-23,28-Feb-23,"9,025","1,625",-,"10,650",181,-,-,6-Jun-23,-,"9,025",PO Based,18-May-23,,,,,,,18-May-23,30-May-23,30-May-23,30-May-23,6-Jun-23,30
Infra,May-23,ITIUPS,Opex,XYZCL|XYZ|2023-24|1187,ABC PVT. LTD,FITPL/23-24/0189,13-May-23,13-May-23,13-May-23,"31,800","8,904",-,"40,704",-,-,29-05-2023,5-Jun-23,-,"31,800",PO Based,15-May-23,20-May-23,29-May-23,30-May-23,31-May-23,31-May-23,31-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,May-23,ITIUPS,Opex,XYZCL|XYZ|2023-24|1187,ABC PVT. LTD,FITPL/23-24/0190,13-May-23,13-May-23,13-May-23,"31,800","8,904",-,"40,704",-,-,29-05-2023,5-Jun-23,-,"31,800",PO Based,15-May-23,20-May-23,29-May-23,30-May-23,31-May-23,31-May-23,31-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,May-23,ITIUPS,Opex,XYZCL|XYZ|2023-24|1187,ABC PVT. LTD,FITPL/23-24/0184,13-May-23,13-May-23,13-May-23,"31,800","8,904",-,"40,704",-,-,29-05-2023,5-Jun-23,-,"31,800",PO Based,15-May-23,20-May-23,29-May-23,30-May-23,31-May-23,31-May-23,31-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,May-23,ITIUPS,Opex,XYZCL|XYZ|2023-24|1187,ABC PVT. LTD,FITPL/23-24/0147,08-May-23,08-May-23,08-May-23,"31,800","8,904",-,"40,704",-,-,29-05-2023,5-Jun-23,-,"31,800",PO Based,15-May-23,20-May-23,29-May-23,30-May-23,31-May-23,31-May-23,31-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,May-23,ITIUPS,Opex,XYZCL|XYZ|2023-24|1187,ABC PVT. LTD,FITPL/23-24/0148,08-May-23,08-May-23,08-May-23,"31,800","8,904",-,"40,704",-,-,29-05-2023,5-Jun-23,-,"31,800",PO Based,15-May-23,20-May-23,29-May-23,30-May-23,31-May-23,31-May-23,31-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,May-23,ITIUPS,Opex,XYZCL|XYZ|2023-24|1187,ABC PVT. LTD,FITPL/23-24/0186,13-May-23,13-May-23,13-May-23,"31,800","8,904",-,"40,704",-,-,29-05-2023,5-Jun-23,-,"31,800",PO Based,15-May-23,20-May-23,29-May-23,30-May-23,31-May-23,31-May-23,31-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,Apr-23,ITIMAP,Opex,XYZCL|XYZ|2023-24|1059,ABC ch Solutions,INV/23-24/499,19-May-23,01-Apr-23,31-Mar-24,"6,94,600","1,25,028",-,"8,19,628","6,946",-,25-05-2023,3-Jun-23,-,"6,94,600",PO Based,15-May-23,20-May-23,22-May-23,25-May-23,29-May-23,29-May-23,29-May-23,NA,NA,NA,NA,3-Jun-23,45
Infra,May-23,ITIABS,Opex,XYZCL|XYZ|2023-24|1138,ABC Pvt. Ltd,MH-23-24-00958,15-May-23,01-May-23,30-Apr-24,"7,75,000","1,39,500",-,"9,14,500",-,-,29-05-2023,9-Jun-23,-,"7,10,417",PO Based,15-May-23,20-May-23,29-May-23,29-May-23,8-Jun-23,8-Jun-23,8-Jun-23,NA,NA,NA,NA,9-Jun-23,45
Infra,Apr-23,ITIACC,Opex,XYZCL|XYZ|2023-24|1079,ABC ndia Pvt ltd,SLM/2324/MAY/121,12-May-23,23-Apr-23,22-Apr-24,"30,740","5,533",-,"36,273",-,-,29-05-2023,6-Jun-23,-,"30,740",PO Based,15-May-23,20-May-23,29-May-23,29-May-23,30-May-23,30-May-23,30-May-23,NA,NA,NA,NA,6-Jun-23,45
Infra,Apr-23,ITIIBM,Opex,XYZCL|XYZ|2023-24|1140,ABC ware Pvt Ltd,SI/MS/2324/G0214,12-May-23,01-Apr-23,30-Apr-23,"1,15,000","20,700",-,"1,35,700","11,500",-,29-05-2023,9-Jun-23,-,"1,15,000",PO Based,13-May-23,20-May-23,29-May-23,29-May-23,8-Jun-23,8-Jun-23,8-Jun-23,NA,NA,NA,NA,9-Jun-23,45
Infra,Apr-23,ITIFBO,Opex,XYZCL|XYZ|2023-24|1141,ABC ware Pvt Ltd,SI/MS/2324/G0215,12-May-23,01-Apr-23,30-Apr-23,"2,45,835","44,250",-,"2,90,086","24,584",-,29-05-2023,9-Jun-23,-,"2,45,835",PO Based,13-May-23,20-May-23,29-May-23,29-May-23,8-Jun-23,8-Jun-23,8-Jun-23,NA,NA,NA,NA,9-Jun-23,45
Infra,Apr-23,ITICLD,Opex,DI-29,ABC ndia Pvt ltd,SLM/2324/MAY/418,23-May-23,01-Apr-23,30-Apr-23,"9,38,652","1,68,957",-,"11,07,610",-,-,-,5-Jun-23,-,"9,38,652",PO Based,24-May-23,,,,,,,24-May-23,30-May-23,30-May-23,30-May-23,5-Jun-23,30
Infra,Apr-23,ITIDMI,Opex,XYZCL|XYZ|2023-24|1190,ABC CH PVT. LTD.,2324100382,22-May-23,01-Apr-23,30-Apr-23,"75,000","13,500",-,"88,500","7,500",-,29-05-2023,12-Jun-23,-,"75,000",PO Based,23-May-23,23-May-23,29-May-23,29-May-23,8-Jun-23,8-Jun-23,8-Jun-23,NA,NA,NA,NA,12-Jun-23,45
Infra,Apr-23,ITIFOR,Opex,XYZCL|XYZ|2023-24|1161,ABC CH PVT. LTD.,2324100383,22-May-23,01-Apr-23,30-Apr-23,"77,000","13,860",-,"90,860","7,700",-,29-05-2023,12-Jun-23,-,"77,000",PO Based,23-May-23,23-May-23,29-May-23,29-May-23,8-Jun-23,8-Jun-23,8-Jun-23,NA,NA,NA,NA,12-Jun-23,45
Infra,Apr-23,ITIFDB,Opex,XYZCL|XYZ|2023-24|1163,ABC CH PVT. LTD.,2324100384,22-May-23,01-Apr-23,30-Apr-23,"57,500","10,350",-,"67,850","5,750",-,29-05-2023,12-Jun-23,-,"57,500",PO Based,23-May-23,23-May-23,29-May-23,29-May-23,8-Jun-23,8-Jun-23,8-Jun-23,NA,NA,NA,NA,12-Jun-23,45
Infra,Apr-23,ITIFMQ,Opex,XYZCL|XYZ|2023-24|1164,ABC CH PVT. LTD.,2324100385,22-May-23,01-Apr-23,30-Apr-23,"64,800","11,664",-,"76,464","6,480",-,29-05-2023,12-Jun-23,-,"64,800",PO Based,23-May-23,23-May-23,29-May-23,29-May-23,8-Jun-23,8-Jun-23,8-Jun-23,NA,NA,NA,NA,12-Jun-23,45
Infra,Apr-23,ITIDMI,Opex,XYZCL|XYZ|2023-24|1162,ABC CH PVT. LTD.,2324100386,22-May-23,01-Apr-23,30-Apr-23,"70,000","12,600",-,"82,600","7,000",-,29-05-2023,12-Jun-23,-,"70,000",PO Based,23-May-23,23-May-23,29-May-23,29-May-23,8-Jun-23,8-Jun-23,8-Jun-23,NA,NA,NA,NA,12-Jun-23,45
Infra,Apr-23,ITIAVD,Opex,XYZCL|XYZ|2023-24|1266,ABC LTD-Mumbai,MS0042/23-24,22-May-23,01-Apr-23,31-Mar-24,"1,32,000","23,760",-,"1,55,760","13,200",-,29-05-2023,5-Jun-23,-,"1,32,000",PO Based,22-May-23,22-May-23,29-May-23,30-May-23,31-May-23,31-May-23,31-May-23,NA,NA,NA,NA,5-Jun-23,45
Infra,May-23,ITIACC,Opex,DI-30,ABC dia) Pvt Ltd,2723CI9001000819,24-May-23,24-May-23,24-May-23,972,175,-,"1,147",2,-,-,6-Jun-23,-,972,PO Based,25-May-23,,,,,,,25-May-23,30-May-23,30-May-23,30-May-23,6-Jun-23,30
Infra,May-23,ITIACC,Opex,DI-31,ABC dia) Pvt Ltd,1923CI9001000022,24-May-23,24-May-23,24-May-23,540,97,-,637,1,-,-,6-Jun-23,-,540,PO Based,25-May-23,,,,,,,25-May-23,30-May-23,30-May-23,30-May-23,6-Jun-23,30
Infra,Apr-23,ITIADS,Opex,XYZCL|XYZ|2022-23|2890,ABC vate Limited,2410481313,05-Apr-23,01-Apr-23,31-Mar-24,"14,53,974","2,61,715",-,"17,15,689","1,45,397",-,07-06-2023,15-Jun-23,-,"14,53,974",PO Based,29-May-23,29-May-23,29-May-23,7-Jun-23,12-Jun-23,12-Jun-23,12-Jun-23,NA,NA,NA,NA,15-Jun-23,45
Infra,Apr-23,ITIHCT,Opex,DI-32,ABC IMITED,EIMH042300458892,01-May-23,01-Apr-23,30-Apr-23,"58,969","10,614",-,"69,583",-,-,-,12-Jun-23,-,"58,969",PO Based,29-May-23,,,,,,,30-May-23,8-Jun-23,8-Jun-23,8-Jun-23,12-Jun-23,30
Infra,Apr-23,ITIHCT,Opex,DI-33,ABC IMITED,EIMH042300458107,01-May-23,01-Apr-23,30-Apr-23,"5,000",900,-,"5,900",-,-,-,9-Jun-23,-,"5,000",PO Based,29-May-23,,,,,,,30-May-23,8-Jun-23,8-Jun-23,8-Jun-23,9-Jun-23,30
